date,plant,quantity,unit
2021-11-17,Tomato (Cherry),6,oz
2021-11-17,Shishito Pepper,3,oz
2021-11-03,Tomato (Large),50,oz
2021-11-25,Ginger,8,oz
2022-12-30,Bell Pepper,11,oz
2022-12-30,Tomato (Large),21,oz
2022-12-30,Tomato (Cherry),5,oz
2022-12-18,Bell Pepper,12,oz
2022-12-05,Tomato (Cherry),3,oz
2022-12-05,Ginger,3,oz
2022-12-05,Swiss Chard,22,oz
2022-12-18,Swiss Chard,11,oz
2022-01-05,Ginger,45,oz
2022-01-05,Green Bean (Bush),14,oz
2022-01-05,Bell Pepper,6,oz
2022-01-05,Tabasco Pepper,36,oz
